it,n_conv_layers,n_kernels,stride,dropout,fold,mse
131,5,10,5,TRUE,1,3409.85725
132,5,10,5,TRUE,2,3649.393713
133,5,10,5,TRUE,3,3361.151069
134,5,10,5,TRUE,4,3687.034056
135,5,10,5,FALSE,0,11.25847727
136,5,10,5,FALSE,1,12.21316739
137,5,10,5,FALSE,2,13.87377453
138,5,10,5,FALSE,3,11.98327292
139,5,10,5,FALSE,4,14.30678151
140,5,20,2,TRUE,0,17.00568555
141,5,20,2,TRUE,1,14.20098118
142,5,20,2,TRUE,2,11.74251308
143,5,20,2,TRUE,3,11.91611185
144,5,20,2,TRUE,4,17.05907344
145,5,20,2,FALSE,0,11.23650595
146,5,20,2,FALSE,1,12.41403638
147,5,20,2,FALSE,2,12.17269898
148,5,20,2,FALSE,3,10.81700614
149,5,20,2,FALSE,4,10.8479902
150,5,20,5,TRUE,0,3228.918004
151,5,20,5,TRUE,1,3940.437497
152,5,20,5,TRUE,2,3786.456081
153,5,20,5,TRUE,3,3411.061674
154,5,20,5,TRUE,4,4013.719248
155,5,20,5,FALSE,0,18.93030472
156,5,20,5,FALSE,1,14.39995784
157,5,20,5,FALSE,2,11.62395976
158,5,20,5,FALSE,3,15.57728567
159,5,20,5,FALSE,4,11.86316437
160,5,30,2,TRUE,0,13.36917624
161,5,30,2,TRUE,1,13.70792961
162,5,30,2,TRUE,2,11.52271906
163,5,30,2,TRUE,3,12.24232952
164,5,30,2,TRUE,4,18.31445674
165,5,30,2,FALSE,0,14.71749497
166,5,30,2,FALSE,1,11.33422757
167,5,30,2,FALSE,2,10.3960347
168,5,30,2,FALSE,3,12.64706388
169,5,30,2,FALSE,4,10.95857245
170,5,30,5,TRUE,0,3483.079462
171,5,30,5,TRUE,1,4566.861545
172,5,30,5,TRUE,2,3725.680346
173,5,30,5,TRUE,3,4046.480137
174,5,30,5,TRUE,4,3723.058101
175,5,30,5,FALSE,0,15.05938004
176,5,30,5,FALSE,1,29.0686683
177,5,30,5,FALSE,2,32.24528586
178,5,30,5,FALSE,3,16.72623985
179,5,30,5,FALSE,4,15.8317178
